tempo, vel, ref
4.583970, -0.523279, -0.544392
4.591969, -0.537156, -0.558948
4.599969, -0.548685, -0.573334
4.607969, -0.561772, -0.587545
4.615969, -0.578526, -0.601578
4.623969, -0.592859, -0.615427
4.631969, -0.602710, -0.629089
4.639969, -0.620687, -0.642559
4.647969, -0.634876, -0.655833
4.655969, -0.647363, -0.668908
4.663969, -0.653116, -0.681779
4.671968, -0.672674, -0.694442
4.679968, -0.691441, -0.706894
4.687968, -0.700501, -0.719130
4.695968, -0.710113, -0.731148
4.703968, -0.719892, -0.742942
4.711968, -0.733698, -0.754511
4.719968, -0.746113, -0.765849
4.727968, -0.757618, -0.776954
4.735968, -0.772407, -0.787823
4.743968, -0.782737, -0.798452
4.751967, -0.788322, -0.808837
4.759967, -0.803710, -0.818976
4.767967, -0.814903, -0.828866
4.775967, -0.823172, -0.838503
4.783967, -0.826264, -0.847885
4.791967, -0.844624, -0.857008
4.799967, -0.851023, -0.865871
4.807967, -0.859268, -0.874470
4.815967, -0.873841, -0.882802
4.823967, -0.872379, -0.890866
4.831966, -0.885538, -0.898658
4.839966, -0.898361, -0.906176
4.847966, -0.902532, -0.913419
4.855966, -0.905599, -0.920383
4.863966, -0.916553, -0.927067
4.871966, -0.924558, -0.933468
4.879966, -0.931797, -0.939585
4.887966, -0.938077, -0.945416
4.895966, -0.940042, -0.950959
4.903965, -0.955765, -0.956212
4.911965, -0.955765, -0.961175
4.919965, -0.956844, -0.965844
4.927965, -0.966695, -0.970219
4.935965, -0.966216, -0.974299
4.943965, -0.972831, -0.978081
4.951965, -0.979207, -0.981566
4.959965, -0.977169, -0.984752
4.967965, -0.990975, -0.987638
4.975965, -0.986253, -0.990223
4.983964, -0.988099, -0.992507
4.991964, -0.994451, -0.994488
4.999964, -0.995337, -0.996167
5.007964, -1.000011, -0.997542
5.015964, -0.997111, -0.998613
5.023964, -0.997614, -0.999380
5.031964, -1.007873, -0.999842
5.039964, -1.000898, -1.000000
5.047964, -0.997375, -0.999853
5.055964, -1.003846, -0.999402
5.063963, -1.003846, -0.998647
5.071963, -1.004158, -0.997587
5.079963, -0.996943, -0.996223
5.087963, -0.996248, -0.994556
5.095963, -1.005788, -0.992586
5.103963, -0.995769, -0.990314
5.111963, -0.991718, -0.987740
5.119963, -0.990975, -0.984865
5.127963, -0.991263, -0.981690
5.135962, -0.989393, -0.978216
5.143962, -0.976906, -0.974444
5.151962, -0.977601, -0.970376
5.159962, -0.982322, -0.966012
5.167962, -0.970770, -0.961353
5.175962, -0.965401, -0.956402
5.183962, -0.961302, -0.951160
5.191962, -0.959217, -0.945627
5.199962, -0.953896, -0.939807
5.207962, -0.942175, -0.933700
5.215961, -0.939755, -0.927310
5.223961, -0.938388, -0.920636
