t, r, v, p, to
3.239987, 0.706959, 0.682597, 0.119336, -0.054381
3.247987, 0.719195, 0.701173, 0.124854, 0.043468
3.255986, 0.731211, 0.716728, 0.130529, 0.176838
3.263986, 0.743004, 0.725285, 0.136299, -0.127329
3.271986, 0.754571, 0.733985, 0.142129, -0.294251
3.279986, 0.765909, 0.752489, 0.148080, 0.108417
3.287986, 0.777013, 0.759895, 0.154126, 0.048114
3.295986, 0.787880, 0.767254, 0.160256, -0.088575
3.303986, 0.798508, 0.782977, 0.166458, -0.159232
3.311986, 0.808892, 0.795608, 0.172720, 0.095550
3.319986, 0.819030, 0.800186, 0.179090, -0.112643
3.327986, 0.828918, 0.812554, 0.185519, -0.275143
3.335985, 0.838554, 0.827558, 0.192094, 0.137028
3.343985, 0.847934, 0.836498, 0.198799, -0.163002
3.351985, 0.857056, 0.841939, 0.205505, -0.315613
3.359985, 0.865917, 0.852821, 0.212282, -0.030889
3.367985, 0.874515, 0.856967, 0.219132, -0.041284
3.375985, 0.882846, 0.867490, 0.226041, -0.402729
3.383985, 0.890908, 0.881248, 0.232998, 0.029207
3.391985, 0.898698, 0.886473, 0.240112, -0.190006
3.399985, 0.906215, 0.893184, 0.247225, -0.455097
3.407984, 0.913456, 0.902987, 0.254446, 0.001991
3.415984, 0.920419, 0.911256, 0.261643, -0.309068
3.423984, 0.927101, 0.920268, 0.268972, -0.264171
3.431984, 0.933501, 0.926907, 0.276397, -0.051515
3.439984, 0.939617, 0.925278, 0.283798, -0.388295
3.447984, 0.945446, 0.939826, 0.291247, -0.252121
3.455984, 0.950988, 0.943709, 0.298875, -0.085533
3.463984, 0.956240, 0.941193, 0.306420, -0.386969
3.471984, 0.961200, 0.957419, 0.313964, -0.184965
3.479984, 0.965868, 0.961973, 0.321581, -0.191579
3.487983, 0.970241, 0.963867, 0.329269, -0.467869
3.495983, 0.974319, 0.972016, 0.336994, -0.093204
3.503983, 0.978101, 0.970937, 0.344897, -0.227247
3.511983, 0.981584, 0.978104, 0.352718, -0.315618
3.519983, 0.984768, 0.980069, 0.360466, -0.180275
3.527983, 0.987653, 0.978104, 0.368250, -0.451922
3.535983, 0.990236, 0.991622, 0.376094, -0.215036
3.543983, 0.992518, 0.992078, 0.384045, -0.298672
3.551983, 0.994498, 0.993660, 0.391997, -0.468854
3.559983, 0.996175, 0.997974, 0.400081, -0.105062
3.567982, 0.997548, 0.992078, 0.407984, -0.275432
3.575982, 0.998617, 0.999100, 0.415888, -0.318710
3.583982, 0.999383, 1.002768, 0.423815, -0.229830
3.591982, 0.999844, 0.995457, 0.431814, -0.497098
3.599982, 1.000000, 1.006219, 0.439826, -0.184584
3.607982, 0.999852, 1.001401, 0.447849, -0.401136
3.615982, 0.999399, 1.005308, 0.455896, -0.475347
3.623982, 0.998642, 1.003942, 0.463895, -0.208868
3.631982, 0.997580, 1.000467, 0.471846, -0.507041
3.639982, 0.996215, 1.004613, 0.479917, -0.281391
3.647981, 0.994546, 0.997734, 0.488000, -0.208413
3.655981, 0.992575, 0.993660, 0.495975, -0.425439
3.663981, 0.990301, 0.997974, 0.503949, -0.250891
3.671981, 0.987725, 0.992078, 0.511804, -0.641003
3.679981, 0.984849, 0.996152, 0.519742, -0.319085
3.687981, 0.981672, 0.990496, 0.527729, -0.231211
3.695981, 0.978197, 0.983377, 0.535631, -0.397746
3.703981, 0.974424, 0.984264, 0.543522, -0.310008
3.711981, 0.970353, 0.976570, 0.551340, -0.395286
3.719980, 0.965988, 0.975707, 0.559146, -0.572197
3.727980, 0.961328, 0.974605, 0.566929, -0.225254
3.735980, 0.956375, 0.964945, 0.574615, -0.463326
3.743980, 0.951131, 0.966216, 0.582349, -0.335232
3.751980, 0.945597, 0.960056, 0.590059, -0.268231
3.759980, 0.939775, 0.950852, 0.597733, -0.481069
3.767980, 0.933667, 0.945075, 0.605335, -0.210722
3.775980, 0.927275, 0.936639, 0.612865, -0.388065
3.783980, 0.920600, 0.929065, 0.620323, -0.534934
3.791980, 0.913645, 0.930838, 0.627733, -0.213917
3.799979, 0.906411, 0.917560, 0.635167, -0.615214
3.807979, 0.898901, 0.917368, 0.642469, -0.518094
3.815979, 0.891118, 0.909267, 0.649770, -0.141275
3.823979, 0.883063, 0.894502, 0.657024, -0.507133
3.831979, 0.874739, 0.891338, 0.664182, -0.267740
3.839979, 0.866149, 0.883453, 0.671268, -0.308159
